"Aviation; monthly figures of Dutch airports"
"";"Subjects";"Aircraft movements";"Aircraft movements";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic";"Commercial air traffic"
"";"Subjects";"Cross-country flights";"Local flights";"Flights";"Flights";"Flights";"Passengers";"Passengers";"Passengers";"Passengers";"Passengers";"Passengers";"Passengers";"Passengers";"Cargo"
"";"Subjects";"Cross-country flights";"Local flights";"All flights";"Arrivals";"Departures";"Total passengers";"Passenger arrivals";"Passenger departures";"Country of origin/destination";"Country of origin/destination";"Country of origin/destination";"Country of origin/destination";"Country of origin/destination";"Total cargo"
"";"Subjects";"Cross-country flights";"Local flights";"Total flights";"Total arrivals flights";"Total departures flights";"Total passengers";"Total arrivals passengers";"Total departures passengers";"Europe";"Intercontinental";"Intercontinental";"Intercontinental";"Intercontinental";"Total cargo"
"";"Subjects";"Cross-country flights";"Local flights";"Total flights";"Total arrivals flights";"Total departures flights";"Total passengers";"Total arrivals passengers";"Total departures passengers";"Europe total";"Total intercontinental passengers";"Africa";"America";"Asia";"Total cargo"
"";"Subjects";"Cross-country flights";"Local flights";"Total flights";"Total arrivals flights";"Total departures flights";"Total passengers";"Total arrivals passengers";"Total departures passengers";"Europe total";"Total intercontinental passengers";"Africa";"America";"Asia";"Total cargo"
"Airports";"Periods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"ton"
"Maastricht Aachen Airport";"2000";"24701";"46315";"13180";"6587";"6593";"382896";"173918";"208978";"379408";"3471";"3470";"0";"1";"44268"
"Maastricht Aachen Airport";"2001";"22603";"35931";"12630";"6339";"6291";"359559";"160021";"199538";"358553";"967";"965";"0";"2";"33463"
"Maastricht Aachen Airport";"2002";"18810";"28283";"9209";"4603";"4606";"312333";"132971";"179362";"305107";"7149";"6881";"18";"250";"39477"
"Maastricht Aachen Airport";"2003";"15584";"25104";"7798";"3896";"3902";"273347";"135568";"137779";"272856";"491";"289";"200";"2";"34255"
"Maastricht Aachen Airport";"2004";"13738";"18318";"7055";"3565";"3490";"228318";"115282";"113036";"225522";"2615";"2611";"2";"2";"44221"
"Maastricht Aachen Airport";"2005";"11562";"7778";"7192";"3582";"3610";"304191";"152604";"151587";"298621";"5569";"5319";"0";"250";"54569"
"Maastricht Aachen Airport";"2006";"16590";"3422";"12300";"6146";"6154";"270086";"134738";"135348";"269157";"886";"736";"102";"48";"54152"
"Maastricht Aachen Airport";"2007";"15067";"8141";"9943";"4964";"4979";"134579";"66413";"68166";"134320";"243";"242";"1";"0";"57898"
"Maastricht Aachen Airport";"2008";"16882";"22902";"10895";"5441";"5454";"231824";"115366";"116458";"231196";"620";"77";"0";"543";"55383"
"Maastricht Aachen Airport";"2009";"13727";"29421";"7159";"3577";"3582";"135696";"68420";"67276";"135459";"237";"16";"0";"221";"53351"
"Maastricht Aachen Airport";"2010";"15111";"20299";"8443";"4239";"4204";"226635";"113332";"113303";"224872";"1761";"459";"1298";"4";"61975"
"Maastricht Aachen Airport";"2011";"11364";"14746";"5770";"2888";"2882";"333910";"164235";"169675";"332421";"1455";"897";"225";"333";"65402"
"Maastricht Aachen Airport";"2012";"10639";"12624";"5445";"2728";"2717";"305439";"150711";"154728";"304801";"621";"0";"482";"139";"52562"
"Maastricht Aachen Airport";"2013";"10347";"3168";"6340";"3168";"3172";"429545";"214551";"214994";"429514";"20";"13";"0";"7";"54029"
"Maastricht Aachen Airport";"2014";"9347";"5421";"5026";"2507";"2519";"241473";"120231";"121242";"239439";"2027";"1998";"15";"14";"56693"
"Maastricht Aachen Airport";"2015";"9004";"15026";"4065";"2031";"2034";"195180";"97169";"98011";"195079";"95";"2";"83";"10";"56622"
"Maastricht Aachen Airport";"2016";"8683";"10605";"3931";"1984";"1947";"176562";"89973";"86589";"176519";"19";"4";"9";"6";"60480"
"© Statistics Netherlands, Den Haag/Heerlen 16-10-2017"
